OVIPMONTH,OVIPDAY,OVIPYEAR,CAGE,TREAT,ID,EMASS,SURV,HATCHMONTH,HATCHDAY,SVL,TL,MASS,SEX,QUANTITY,OTU,FAITH,SHANNON
5,22,2019,11,Control,1711,0.1756,Y,6,20,19.33,32.05,0.1684,M,,,,
5,22,2019,11,Control,1811,0.1483,Y,6,23,18.45,30.07,0.1417,F,,,,
5,22,2019,12,Control,1912,0.1666,Y,6,19,18.52,28.71,0.1716,F,,,,
5,22,2019,12,Control,2012,0.1331,N,,,,,,,,,,
4,22,2020,22,Control,4-1,0.1235,Y,5,21,16.94,30.61,0.1445,F,,,,
4,22,2020,18,Control,5-1,0.1633,Y,5,23,17.96,31.99,0.1724,M,,,,
4,22,2020,14,Control,7-1,0.1376,Y,5,21,18.66,33.39,0.1627,F,,,,
4,22,2020,2,Control,10-1,0.1478,Y,5,22,18.37,32.89,0.2752,M,,,,
4,22,2020,40,Control,16-1,0.1778,Y,5,22,18.12,29.57,0.1502,M,,,,
4,27,2020,27,Control,28-3,0.1542,Y,5,29,18.34,33.44,0.1681,,,,,
4,27,2020,23,Control,30-1,0.1895,Y,5,23,19.26,29.6,0.1593,F,,,,
4,27,2020,17,Control,33-2,0.1407,Y,6,1,16.95,30.1,0.1676,,,,,
4,27,2020,5,Control,38-1,0.1614,Y,5,28,18.29,34.08,0.1857,M,,,,
4,27,2020,4,Control,39-3,0.1612,Y,5,28,18.18,32.15,0.1738,F,,,,
4,27,2020,1,Control,42-4,0.1381,Y,5,28,18.38,34.93,0.1908,F,,,,
4,27,2020,15,Control,43-1,0.1811,Y,5,27,18.71,35.83,0.1642,F,,,,
5,1,2020,24,Control,54-3,0.17411,Y,6,1,19.64,33.89,0.1958,F,,,,
5,1,2020,19,Control,55-2,0.2019,Y,5,31,17.59,27.93,0.1842,,,,,
5,1,2020,3,Control,59-4,0.1528,Y,5,31,16.98,30.77,0.1598,F,,,,
5,1,2020,41,Control,60-4,0.1467,N,,,,,,,,,,
5,1,2020,42,Control,61-2,0.1332,Y,6,4,17.82,31.64,0.1453,F,,,,
5,22,2019,6,Control (Sonication),96,0.1632,Y,6,23,18.69,28.06,0.1701,F,,,,
5,22,2019,7,Control (Sonication),107,0.2064,Y,6,18,19.1,32.87,0.1564,F,,,,
5,22,2019,7,Control (Sonication),117,0.1428,Y,6,26,16.97,30.43,0.1363,M,,,,
5,22,2019,8,Control (Sonication),128,0.1776,Y,6,21,18.38,26.67,0.1405,F,,,,
4,22,2020,27,Control (Sonication),1-1,0.1661,Y,5,24,19.33,34.92,0.1804,M,,,,
4,22,2020,10,Control (Sonication),13-2,0.1388,Y,5,23,18.98,33.11,0.1649,F,,,,
4,22,2020,4,Control (Sonication),14-1,0.1319,Y,5,22,17.6,31.2,0.1624,F,,,,
4,25,2020,24,Control (Sonication),17-1,0.1748,Y,5,26,19.63,33.95,0.1941,,,,,
4,25,2020,20,Control (Sonication),18-1,0.2033,N,,,,,,,,,,
4,25,2020,41,Control (Sonication),22-2,0.1404,Y,5,25,18,30.63,0.1662,M,,,,
4,27,2020,29,Control (Sonication),25-1,0.1469,Y,5,27,16.19,,0.1349,M,,,,
4,27,2020,28,Control (Sonication),27-2,0.1727,Y,5,26,19.31,29.86,0.1708,M,,,,
4,27,2020,26,Control (Sonication),29-2,0.2171,Y,5,27,18.31,37.14,0.2176,M,,,,
4,27,2020,9,Control (Sonication),36-1,0.1491,Y,5,28,18.57,31.15,0.166,F,,,,
4,27,2020,3,Control (Sonication),40-2,0.1768,Y,5,27,17.77,30.25,0.1682,F,,,,
4,29,2020,25,Control (Sonication),44-1,0.202,Y,5,28,18.84,33.94,0.2126,M,,,,
4,29,2020,1,Control (Sonication),48-4,0.152,Y,5,29,18.75,32.64,0.1642,,,,,
5,1,2020,18,Control (Sonication),56-3,0.1682,Y,6,2,17.65,32.15,0.1848,M,,,,
5,1,2020,5,Control (Sonication),58-3,0.1756,Y,6,2,18.08,34.07,0.1846,F,,,,
5,22,2019,3,Sonication,43,0.1789,Y,6,16,16.35,24.69,0.1074,F,0.99,13211,25.15338976,4.456097073
5,22,2019,5,Sonication,55,0.2288,N,,,,,,,0.472,11343,22.93283408,4.120443933
5,22,2019,5,Sonication,65,0.169,N,,,,,,,0.39,12662,22.54946515,4.298629001
5,22,2019,5,Sonication,85,0.1706,N,,,,,,,0.326,10591,21.88702019,4.263510331
4,22,2020,27,Sonication,2-2,0.134,N,,,,,,,,,,
4,22,2020,17,Sonication,6-1,0.1792,Y,5,22,18.05,,0.1699,M,,,,
4,22,2020,1,Sonication,11-1,0.1525,Y,5,23,18.82,30.01,0.1721,M,,,,
4,25,2020,19,Sonication,19-1,0.1905,N,,,,,,,,,,
4,25,2020,2,Sonication,21-2,0.1777,Y,5,24,17.69,31.61,0.1563,F,,,,
4,25,2020,42,Sonication,23-1,0.1273,N,,,,,,,,,,
4,27,2020,11,Sonication,35-1,0.1956,N,,,,,,,,,,
4,27,2020,6,Sonication,37-1,0.136,N,,,,,,,,,,
4,29,2020,20,Sonication,45-2,0.1867,N,,,,,,,,,,
4,29,2020,10,Sonication,46-3,0.1541,N,,,,,,,,,,
4,29,2020,4,Sonication,47-4,0.1311,N,,,,,,,,,,
4,29,2020,32,Sonication,51-1,0.1288,Y,6,4,3.93,21.97,0.0715,F,,,,
5,1,2020,29,Sonication,52-2,,N,,,,,,,,,,
5,1,2020,24,Sonication,53-2,,N,,,,,,,,,,
5,22,2019,8,Swab,138,0.1449,Y,6,26,19.36,28,0.1454,M,0.0356,12507,19.76098257,3.419605953
5,22,2019,9,Swab,149,0.1963,Y,6,18,18.2,31.73,0.1767,F,0.0688,11934,22.75490779,4.043362788
5,22,2019,10,Swab,1510,0.1386,Y,6,23,18.69,28.13,0.1361,F,0.0628,13094,22.6845104,3.882003082
5,22,2019,11,Swab,1611,0.1335,Y,6,23,19.34,30.9,0.1562,F,0.0368,14246,20.51226298,3.533873012
5,22,2019,1,Swab,11,0.1428,Y,6,23,17.15,29.49,0.1546,F,,,,
5,22,2019,1,Swab,21,0.1765,Y,6,18,16.87,30.32,0.1496,F,,,,
5,22,2019,2,Swab,32,0.181,Y,6,17,18.62,28.8,0.1458,F,,,,
5,22,2019,7,Swab,75,0.1445,Y,6,26,15.61,29.46,0.1587,M,,,,
4,22,2020,26,Swab,3-1,0.1453,Y,5,24,18.14,29.53,0.1511,M,,,,
4,22,2020,10,Swab,8-1,0.1512,Y,5,22,17.99,31.84,0.1767,F,,,,
4,22,2020,4,Swab,9-1,0.1516,Y,5,23,17.89,31.32,0.1786,M,,,,
4,22,2020,1,Swab,12-2,0.1236,Y,5,23,17.39,29.03,0.1379,F,,,,
4,22,2020,41,Swab,15-1,0.1634,N,,,,,,,,,,
4,25,2020,3,Swab,20-1,0.1586,Y,5,26,18.89,33.76,0.1773,F,,,,
4,25,2020,8,Swab,24-1,0.168,Y,5,26,18.29,30.3,0.175,M,,,,
4,27,2020,28,Swab,26-1,0.1609,Y,5,26,18.28,32.55,0.1866,F,,,,
4,27,2020,22,Swab,31-2,0.1597,Y,5,29,18.22,33.31,0.1701,F,,,,
4,27,2020,18,Swab,32-2,0.1624,Y,5,28,0.1788,33.8,0.1699,F,,,,
4,27,2020,17,Swab,34-3,0.1715,N,,,,,,,,,,
4,27,2020,2,Swab,41-3,0.1801,Y,5,28,18.9,33.4,0.1888,M,,,,
4,29,2020,27,Swab,49-4,0.1746,Y,5,30,19.19,35.78,0.2007,M,,,,
4,29,2020,5,Swab,50-2,0.1512,Y,5,29,18.48,34.59,0.1791,F,,,,
5,1,2020,14,Swab,57-2,0.1622,N,,,,,,,,,,