OVIPMONTH,OVIPDAY,OVIPYEAR,CAGE,TREAT,ID,EMASS,SURV,HATCHMONTH,HATCHDAY,SVL,TL,MASS,SEX
5,15,2020,11,Control (Water),14-3,0.1521,N,,,,,,
5,15,2020,24,Control (Water),17-1,0.1693,Y,6,13,17.07,32.48,0.1739,F
5,18,2020,19,Control (Water),23-1,0.1989,N,,,,,,
5,18,2020,29,Control (Water),25-1,0.1939,Y,6,18,17.43,29.21,0.1675,M
5,22,2020,8,Control (Water),33-3,0.1837,Y,6,20,18.54,32.37,0.1884,M
5,27,2020,2,Control (Water),41-2,0.1507,Y,6,28,18.65,31.13,0.1452,M
5,29,2020,28,Control (Water),58-5,0.1568,Y,6,29,18.23,,0.1783,F
6,1,2020,5,Control (Water),62-5,0.178,Y,6,30,17.12,32.37,0.1623,M
6,3,2020,20,Control (Water),70-3,0.2288,N,,,,,,
6,9,2020,13,Control (Water),87-2,0.2014,Y,7,13,19.45,33.14,0.1859,M
6,9,2020,27,Control (Water),94-9,0.1748,Y,7,10,18.23,31.47,0.1586,M
5,15,2020,4,10% Bleach,8-2,0.1804,Y,6,13,18.64,32.9,0.1919,M
5,18,2020,30,10% Bleach,26-1,0.2062,Y,6,16,18.2,31.33,0.1849,F
5,20,2020,22,10% Bleach,28-1,0.1801,Y,6,21,19.21,33.32,0.1881,F
5,29,2020,19,10% Bleach,57-3,0.1658,N,,,,,,
5,29,2020,29,10% Bleach,59-3,0.1803,Y,6,29,17.79,28.14,0.166,F
6,1,2020,11,10% Bleach,67-5,0.2006,Y,6,28,18.58,29.14,0.1694,F
6,5,2020,2,10% Bleach,73-4,0.1707,Y,7,10,17.91,30.95,0.1335,F
6,5,2020,8,10% Bleach,75-5,0.1725,N,,,,,,
6,5,2020,14,10% Bleach,76-4,0.1929,N,,,,,,
6,5,2020,24,10% Bleach,79-3,0.18,Y,7,8,18.64,31.09,0.1778,M
6,5,2020,27,10% Bleach,80-8,0.167,Y,7,5,17.72,31.88,0.1579,F
6,9,2020,16,10% Bleach,88-2,0.2186,N,,,,,,
6,9,2020,26,10% Bleach,93-2,0.2002,Y,7,7,18.37,31.8,0.1538,M
5,18,2020,6,Control,21-1,0.1849,N,,,,,,
5,18,2020,17,Control,22-1,0.1524,N,,,,,,
5,18,2020,32,Control,27-1,0.2052,Y,6,20,17.9,29.8,0.1556,F
5,25,2020,18,Control,40-1,0.1705,Y,6,24,17.56,30.36,0.1645,M
5,27,2020,4,Control,43-3,0.1749,Y,6,25,17.63,28.03,0.1723,M
5,27,2020,14,Control,47-2,0.1946,N,,,,,,
5,27,2020,27,Control,50-6,0.1877,N,,,,,,
5,27,2020,30,Control,53-2,0.1614,N,,,,,,
6,5,2020,22,Control,77-2,0.1495,Y,7,3,17.6,31.81,0.1337,F
6,5,2020,29,Control,81-4,0.1911,Y,7,5,17.37,31.96,0.1786,F
6,9,2020,9,Control,86-1,0.1821,Y,7,9,17.34,29.15,0.1639,M
5,13,2020,28,20% Bleach,5-1,0.1795,Y,6,13,18.89,31.46,0.1851,M
5,15,2020,3,20% Bleach,7-2,0.1869,Y,6,12,18.93,33.27,0.2041,F
5,15,2020,5,20% Bleach,9-1,0.1895,Y,6,15,19.04,36.89,0.2145,F
5,15,2020,27,20% Bleach,18-2,0.1691,Y,6,13,18.82,34.42,0.182,M
5,18,2020,1,20% Bleach,19-1,0.1702,Y,6,16,18.4,31.74,0.1804,F
6,5,2020,4,20% Bleach,74-5,0.1873,Y,7,5,17.32,27.4,0.1616,M
6,9,2020,32,20% Bleach,96-3,0.1448,N,,,,,,
6,10,2020,29,20% Bleach,101-6,0.1808,N,,,,,,
5,13,2020,18,Ethanol,2-1,0.1608,N,,,,,,
5,15,2020,11,Ethanol,12-1,0.1372,N,,,,,,
5,15,2020,20,Ethanol,16-1,0.1857,N,,,,,,
5,22,2020,5,Ethanol,32-3,0.195,N,,,,,,
5,22,2020,27,Ethanol,37-4,0.1754,N,,,,,,
5,27,2020,28,Ethanol,51-3,0.2253,Y,6,27,18.91,32.35,0.177,M
6,1,2020,1,Ethanol,60-3,0.164,N,,,,,,
6,1,2020,10,Ethanol,65-2,0.1749,N,,,,,,
6,5,2020,23,Ethanol,78-2,0.1891,Y,7,8,18.27,29.62,0.165,M
6,9,2020,3,Ethanol,83-4,0.1675,N,,,,,,
6,9,2020,4,Ethanol,85-7,0.1654,N,,,,,,