sample-id,absolute-filepath,direction
A,/Users/kaitlynmurphy/Desktop/sequences2/Mark001-4A_S114_L001_R1_001.fastq.gz,forward
A,/Users/kaitlynmurphy/Desktop/sequences2/Mark001-4A_S114_L001_R2_001.fastq.gz,reverse
B,/Users/kaitlynmurphy/Desktop/sequences2/Mark002-5A_S115_L001_R1_001.fastq.gz,forward
B,/Users/kaitlynmurphy/Desktop/sequences2/Mark002-5A_S115_L001_R2_001.fastq.gz,reverse
C,/Users/kaitlynmurphy/Desktop/sequences2/Mark003-6A_S116_L001_R1_001.fastq.gz,forward
C,/Users/kaitlynmurphy/Desktop/sequences2/Mark003-6A_S116_L001_R2_001.fastq.gz,reverse
D,/Users/kaitlynmurphy/Desktop/sequences2/Mark004-8A_S117_L001_R1_001.fastq.gz,forward
D,/Users/kaitlynmurphy/Desktop/sequences2/Mark004-8A_S117_L001_R2_001.fastq.gz,reverse
E,/Users/kaitlynmurphy/Desktop/sequences2/Mark005-9B_S118_L001_R1_001.fastq.gz,forward
E,/Users/kaitlynmurphy/Desktop/sequences2/Mark005-9B_S118_L001_R2_001.fastq.gz,reverse
F,/Users/kaitlynmurphy/Desktop/sequences2/Mark006-10B_S119_L001_R1_001.fastq.gz,forward
F,/Users/kaitlynmurphy/Desktop/sequences2/Mark006-10B_S119_L001_R2_001.fastq.gz,reverse
G,/Users/kaitlynmurphy/Desktop/sequences2/Mark007-11B_S120_L001_R1_001.fastq.gz,forward
G,/Users/kaitlynmurphy/Desktop/sequences2/Mark007-11B_S120_L001_R2_001.fastq.gz,reverse
H,/Users/kaitlynmurphy/Desktop/sequences2/Mark008-12B_S121_L001_R1_001.fastq.gz,forward
H,/Users/kaitlynmurphy/Desktop/sequences2/Mark008-12B_S121_L001_R2_001.fastq.gz,reverse
I,/Users/kaitlynmurphy/Desktop/sequences2/Mark009-Blank_S122_L001_R1_001.fastq.gz,forward
I,/Users/kaitlynmurphy/Desktop/sequences2/Mark009-Blank_S122_L001_R2_001.fastq.gz,reverse